thermal_demand,electricity_price,co2_price,gas_price,waste_heat,biomass_price
6777.3,125.02,81.52,80.637,16.8808,29.35
6779.51,119.02,81.52,80.637,14.6606,29.35
6804.41,119,81.52,80.637,14.1828,29.35
7305.34,104.68,81.52,80.637,11.631,29.35
7464.49,103.26,81.52,80.637,15.0216,29.35
7347.74,94.53,81.52,80.637,11.2689,29.35
6665.74,86.97,81.52,80.637,13.3848,29.35
6705.03,81.13,81.52,80.637,8.6233,29.35
6764.73,77.43,81.52,80.637,7.4605,29.35
6443.83,71.33,81.52,80.637,7.4957,29.35
6047.94,68.4,81.52,78.242,7.3151,29.35
5996.15,65.34,81.52,78.242,7.4066,29.35
6010.19,64.05,81.52,78.242,7.0429,29.35
6098.96,62.76,81.52,78.242,7.4828,29.35
6236.01,63.32,81.52,78.242,6.8836,29.35
6475.96,65.85,81.52,78.242,6.8813,29.35
6862.29,75.74,81.52,78.242,11.3066,29.35
6944.95,99.89,81.52,78.242,12.699,29.35
6833.45,104.27,81.52,78.242,11.566,29.35
6692.66,103.3,81.52,78.242,14.6548,29.35
6945.22,95.85,81.52,78.242,17.6608,29.35
6893.93,86.56,81.52,78.242,14.389,29.35
6714.51,78.72,81.52,78.242,17.1128,29.35
6329.95,75.15,81.52,78.242,13.6549,29.35
6348.63,76.91,81.52,78.242,13.4585,29.35
6528.79,90.58,81.52,78.242,15.0944,29.35
6679.17,104.6,81.52,78.242,12.4955,29.35
7242.41,114.77,81.52,78.242,14.2959,29.35
7172.84,108.49,81.52,78.242,14.4499,29.35
7317.4,106.05,81.52,78.242,12.9586,29.35
6724.51,91.77,81.52,78.242,16.3154,29.35
6527.45,79.98,81.52,78.242,10.3896,29.35
6272.97,74.97,81.52,78.242,7.2706,29.35
6049.67,66.69,81.52,78.242,6.9966,29.35
5842.64,67.62,81.52,74.748,5.8449,29.35
5729.2,65.01,81.52,74.748,6.0291,29.35
5645.31,65.1,81.52,74.748,5.8951,29.35
5546.05,63.34,81.52,74.748,5.8258,29.35
5556.2,63.37,81.52,74.748,5.9269,29.35
5730.54,68.91,81.52,74.748,5.7601,29.35
6153.2,74.29,81.52,74.748,9.0379,29.35
6409.22,83.49,81.52,74.748,9.4025,29.35
6328.19,95.87,81.52,74.748,12.8487,29.35
6593,99.71,81.52,74.748,10.0615,29.35
6984.67,99.86,81.52,74.748,11.9224,29.35
6860.59,95.87,81.52,74.748,13.3125,29.35
6747.25,95.88,81.52,74.748,13.0074,29.35
6538.51,95.81,81.52,74.748,12.3366,29.35
6545.93,91,81.52,74.748,10.8678,29.35
6789.2,95.88,81.52,74.748,12.0556,29.35
6956.62,102.01,81.52,74.748,12.1791,29.35
7513.51,97.4,81.52,74.748,12.3751,29.35
7496.21,101.11,81.52,74.748,12.7583,29.35
7379.6,95,81.52,74.748,11.0101,29.35
6651.21,95.97,81.52,74.748,11.8064,29.35
6259.05,77.2,81.52,74.748,10.9824,29.35
6161.44,75.11,81.52,74.748,6.1738,29.35
6122.55,69.13,81.52,74.748,6.094,29.35
