thermal_demand;electricity_price;co2_price;gas_price
8258.17;209.91;89.25;77.928
8546.24;226.97;89.25;77.928
8542.95;223.33;89.25;77.928
8817.00;213.26;89.25;77.928
8650.99;209;89.25;77.928
8472.65;194.85;89.25;77.928
8183.77;191.46;89.25;77.928
8396.85;196.97;89.25;77.928
8454.08;209.67;89.25;77.928
8421.94;207.61;89.25;77.928
8380.13;224.15;89.25;77.928
8466.61;237.78;89.25;77.928
8538.47;224.96;89.25;77.928
7836.07;209.53;89.25;77.928
7642.18;186.82;89.25;77.928
7640.64;187.24;89.25;77.928
7584.04;145.05;89.25;77.928
7712.05;138.71;89.25;78.694
7657.97;128;89.25;78.694
7676.82;126.17;89.25;78.694
7489.09;127.69;89.25;78.694
7783.16;124.27;89.25;78.694
